onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	1	1	-1	0	0	2
17.100000000000001	0.5	3	1	1	1	747	17
22.0	0.5	3	1	1	1	680	22
27.0	0.5	4	2	2	1	892	2
34.0	0.5	3	1	1	1	805	25
44.100000000000001	0.5	1	1	1	1	726	1
54.0	0.5	6	2	2	1	903	22
64.0	0.5	3	1	1	1	811	26
70.0	0.5	2	1	-1	0	0	9
77.0	0.5	3	1	1	1	1021	24
86.0	0.5	6	2	2	1	984	17
98.099999999999994	0.5	5	2	2	1	876	25
106.0	0.5	2	1	1	1	756	10
112.0	0.5	4	2	2	1	822	1
120.0	0.5	3	1	-1	0	0	21
132.0	0.5	3	1	1	1	904	32
140.09999999999999	0.5	5	2	2	1	924	26
147.09999999999999	0.5	1	1	1	1	859	4
155.0	0.5	3	1	1	1	742	23
164.0	0.5	6	2	1	0	744	9
173.0	0.5	6	2	2	1	830	10
179.0	0.5	2	1	1	1	792	13
188.0	0.5	6	2	2	1	907	24
197.0	0.5	3	1	1	1	847	27
205.0	0.5	6	2	2	1	897	21
212.0	0.5	1	1	1	1	1114	7
218.0	0.5	3	1	1	1	890	28
224.0	0.5	6	2	2	1	812	23
235.0	0.5	5	2	2	1	849	32
245.0	0.5	2	1	1	1	886	16
255.0	0.5	5	2	2	1	880	27
267.0	0.5	4	2	2	1	908	4
272.0	0.5	1	1	1	1	780	5
279.0	0.5	6	2	2	1	918	13
285.0	0.5	3	1	1	1	886	30
292.0	0.5	4	2	2	1	730	7
298.0	0.5	1	1	1	1	715	8
309.0	0.5	3	1	1	1	659	31
320.0	0.5	2	1	1	1	727	14
328.0	0.5	5	2	1	0	770	28
339.0	0.5	6	2	1	0	463	16
347.0	0.5	5	2	2	1	1234	30
353.0	0.5	2	1	1	1	753	15
358.10000000000002	0.5	4	2	1	0	985	8
370.0	0.5	5	2	2	1	996	31
375.0	0.5	4	2	2	1	891	5
385.0	0.5	3	1	1	1	1061	20
395.10000000000002	0.5	6	2	-1	0	0	14
403.0	0.5	1	1	1	1	1151	6
408.0	0.5	3	1	1	1	883	29
415.0	0.5	6	2	-1	0	0	15
427.0	0.5	6	2	1	0	814	18
432.10000000000002	0.5	3	1	1	1	873	19
443.0	0.5	1	1	-1	0	0	3
452.0	0.5	6	2	2	1	908	20
459.0	0.5	5	2	2	1	842	29
468.10000000000002	0.5	6	2	2	1	929	19
479.10000000000002	0.5	2	1	1	1	776	12
490.0	0.5	4	2	2	1	885	6
499.0	0.5	4	2	2	1	1118	3
510.10000000000002	0.5	2	1	1	1	938	11
522.0	0.5	6	2	2	1	945	12
527.10000000000002	0.5	3	1	2	0	821	18
539.0	0.5	6	2	2	1	846	11
