onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	1	1	765	22
16.0	0.5	3	1	1	1	1143	17
22.0	0.5	2	1	1	1	1042	9
31.0	0.5	6	2	2	1	891	22
38.0	0.5	3	1	1	1	1173	25
43.0	0.5	1	1	1	1	790	1
49.0	0.5	3	1	1	1	838	26
56.0	0.5	5	2	-1	0	0	9
62.100000000000001	0.5	2	1	1	1	907	10
67.0	0.5	3	1	1	1	872	24
73.0	0.5	6	2	2	1	837	17
79.0	0.5	6	2	2	1	810	25
86.0	0.5	1	1	1	1	1055	2
93.0	0.5	4	2	-1	0	0	1
101.0	0.5	3	1	1	1	921	21
109.0	0.5	6	2	2	1	917	26
120.0	0.5	3	1	1	1	910	32
132.0	0.5	3	1	1	1	753	27
141.0	0.5	3	1	1	1	1010	23
151.0	0.5	5	2	2	1	818	10
162.0	0.5	4	2	2	1	767	2
172.0	0.5	1	1	-1	0	0	4
180.0	0.5	6	2	2	1	834	24
185.0	0.5	1	1	1	1	1146	7
195.0	0.5	6	2	2	1	1145	21
204.0	0.5	2	1	1	1	928	13
216.0	0.5	3	1	1	1	1249	28
228.0	0.5	6	2	2	1	845	23
238.0	0.5	6	2	2	1	998	32
243.0	0.5	1	1	1	1	1057	5
248.0	0.5	6	2	2	1	914	27
260.0	0.5	4	2	2	1	1131	4
267.0	0.5	2	1	1	1	1100	16
278.0	0.5	4	2	2	1	1240	7
284.0	0.5	1	1	1	1	993	8
296.0	0.5	5	2	2	1	843	13
303.0	0.5	3	1	1	1	932	30
311.0	0.5	3	1	1	1	1004	31
318.10000000000002	0.5	2	1	1	1	977	14
325.0	0.5	6	2	2	1	1002	28
335.0	0.5	4	2	2	1	820	5
344.0	0.5	6	2	2	1	949	30
352.10000000000002	0.5	3	1	1	1	976	18
361.0	0.5	4	2	1	0	1186	8
373.0	0.5	2	1	1	1	1025	15
381.0	0.5	5	2	2	1	1068	16
389.0	0.5	5	2	-1	0	0	14
394.10000000000002	0.5	6	2	2	1	962	31
403.0	0.5	1	1	1	1	879	6
412.0	0.5	3	1	1	1	866	29
423.0	0.5	3	1	1	1	1061	20
428.0	0.5	5	2	2	1	806	15
438.0	0.5	3	1	1	1	871	19
448.0	0.5	6	2	2	1	932	20
459.0	0.5	2	1	-1	0	0	12
469.0	0.5	6	2	2	1	1223	29
477.10000000000002	0.5	2	1	1	1	1026	11
483.10000000000002	0.5	6	2	2	1	1076	19
495.0	0.5	4	2	2	1	981	6
500.0	0.5	5	2	2	1	878	12
512.0	0.5	1	1	1	1	912	3
523.10000000000002	0.5	5	2	2	1	836	11
532.0	0.5	6	2	2	1	749	18
538.0	0.5	4	2	2	1	1259	3
