onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	1	1	920	17
16.0	0.5	1	1	-1	0	0	2
23.0	0.5	3	1	1	1	777	22
33.0	0.5	6	2	2	1	956	17
41.0	0.5	3	1	1	1	797	25
49.0	0.5	3	1	1	1	801	26
61.0	0.5	6	2	1	0	1163	22
68.0	0.5	1	1	1	1	891	1
76.0	0.5	3	2	1	0	919	24
88.0	0.5	2	1	1	1	1177	9
93.0	0.5	4	2	2	1	1063	2
100.0	0.5	6	2	2	1	812	25
108.0	0.5	3	1	1	1	964	32
114.0	0.5	6	2	2	1	773	26
123.0	0.5	2	1	2	0	1262	10
129.0	0.5	6	2	2	1	783	32
135.0	0.5	4	2	2	1	803	1
143.0	0.5	1	1	-1	0	0	4
154.0	0.5	3	1	2	0	901	23
160.0	0.5	6	2	-1	0	0	24
166.0	0.5	3	1	1	1	1201	21
177.0	0.5	5	2	-1	0	0	9
182.0	0.5	2	1	1	1	1004	13
193.0	0.5	3	1	1	1	1022	27
201.0	0.5	1	1	1	1	1125	7
206.0	0.5	5	2	2	1	867	10
215.0	0.5	3	1	-1	0	0	28
220.0	0.5	6	2	2	1	868	23
229.0	0.5	2	1	-1	0	0	16
238.0	0.5	4	2	2	1	1071	4
247.0	0.5	6	2	2	1	857	27
259.0	0.5	6	2	2	1	861	21
266.0	0.5	1	1	1	1	998	5
278.0	0.5	5	2	-1	0	0	13
285.0	0.5	4	2	2	1	1104	7
290.0	0.5	3	1	1	1	829	30
297.0	0.5	3	1	1	1	1026	31
306.0	0.5	5	2	2	1	1158	16
317.0	0.5	2	1	-1	0	0	14
327.0	0.5	6	2	2	1	1130	28
332.0	0.5	1	1	1	1	978	8
342.0	0.5	6	2	2	1	790	30
352.0	0.5	2	1	1	1	1048	15
364.0	0.5	4	2	2	1	866	8
374.0	0.5	6	2	2	1	796	31
386.0	0.5	4	2	2	1	988	5
392.0	0.5	3	1	1	1	865	20
402.0	0.5	5	2	2	1	1097	14
412.0	0.5	3	1	-1	0	0	29
421.0	0.5	1	1	-1	0	0	6
427.0	0.5	5	2	2	1	998	15
435.0	0.5	2	1	1	1	1193	12
443.0	0.5	3	1	1	1	1088	18
450.0	0.5	3	1	1	1	915	19
455.0	0.5	6	2	2	1	932	20
460.0	0.5	6	2	2	1	933	29
471.0	0.5	1	1	1	1	1017	3
480.0	0.5	6	2	2	1	1050	19
490.0	0.5	4	2	1	0	1135	6
501.0	0.5	6	2	2	1	1001	18
512.0	0.5	2	1	1	1	1090	11
519.0	0.5	5	2	2	1	1152	12
525.0	0.5	4	2	2	1	858	3
537.0	0.5	5	2	2	1	1041	11
