onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	2	1	383	17
16.0	0.5	1	1	2	1	368	2
23.0	0.5	3	1	2	1	511	22
33.0	0.5	6	2	1	1	357	17
41.0	0.5	3	1	2	1	424	25
49.0	0.5	3	1	2	1	494	26
61.100000000000001	0.5	6	2	2	0	514	22
68.0	0.5	1	1	2	1	986	1
76.0	0.5	3	2	1	1	756	24
88.0	0.5	2	1	2	1	676	9
93.0	0.5	4	2	1	1	790	2
100.0	0.5	6	2	1	1	840	25
108.0	0.5	3	1	1	0	745	32
114.0	0.5	6	2	1	1	843	26
123.0	0.5	2	1	-1	1	0	10
129.0	0.5	6	2	2	0	942	32
135.0	0.5	4	2	1	1	1116	1
143.0	0.5	1	1	2	1	696	4
154.0	0.5	3	1	2	1	970	23
160.0	0.5	6	2	1	1	1139	24
166.0	0.5	3	1	2	1	959	21
177.0	0.5	5	2	-1	1	0	9
182.0	0.5	2	1	2	1	736	13
193.0	0.5	3	1	2	1	839	27
201.0	0.5	1	1	2	1	844	7
206.0	0.5	5	2	2	0	1030	10
215.0	0.5	3	1	2	1	888	28
220.0	0.5	6	2	1	1	737	23
229.09999999999999	0.5	2	1	2	1	930	16
238.0	0.5	4	2	-1	1	0	4
247.0	0.5	6	2	1	1	920	27
259.0	0.5	6	2	1	1	983	21
266.0	0.5	1	1	1	0	971	5
278.0	0.5	5	2	-1	1	0	13
285.0	0.5	4	2	1	1	871	7
290.0	0.5	3	1	2	1	896	30
297.0	0.5	3	1	-1	1	0	31
306.0	0.5	5	2	1	1	795	16
317.0	0.5	2	1	-1	1	0	14
327.0	0.5	6	2	1	1	992	28
332.10000000000002	0.5	1	1	2	1	897	8
342.0	0.5	6	2	2	0	1124	30
352.0	0.5	2	1	2	1	860	15
364.0	0.5	4	2	-1	1	0	8
374.0	0.5	6	2	1	1	898	31
386.0	0.5	4	2	1	1	883	5
392.0	0.5	3	1	2	1	812	20
402.10000000000002	0.5	5	2	-1	1	0	14
412.0	0.5	3	1	2	1	826	29
421.10000000000002	0.5	1	1	2	1	772	6
427.0	0.5	5	2	1	1	793	15
435.10000000000002	0.5	2	1	2	1	809	12
443.0	0.5	3	1	2	1	766	18
450.0	0.5	3	1	2	1	690	19
455.0	0.5	6	2	1	1	827	20
460.0	0.5	6	2	1	1	949	29
471.10000000000002	0.5	1	1	-1	1	0	3
480.10000000000002	0.5	6	2	1	1	794	19
490.0	0.5	4	2	1	1	796	6
501.0	0.5	6	2	1	1	716	18
512.0	0.5	2	1	2	1	750	11
519.0	0.5	5	2	1	1	847	12
525.0	0.5	4	2	1	1	776	3
537.0	0.5	5	2	1	1	900	11
