onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	1	1	1	1	686	2
17.100000000000001	0.5	3	1	1	1	448	17
22.100000000000001	0.5	3	1	1	1	443	22
27.100000000000001	0.5	4	2	2	1	670	2
34.100000000000001	0.5	3	1	1	1	467	25
44.100000000000001	0.5	1	1	1	1	705	1
54.100000000000001	0.5	6	2	2	1	627	22
64.099999999999994	0.5	3	1	2	0	700	26
70.099999999999994	0.5	2	1	1	1	1136	9
77.099999999999994	0.5	3	1	1	1	680	24
86.099999999999994	0.5	6	2	2	1	714	17
98.099999999999994	0.5	5	2	2	1	853	25
106.09999999999999	0.5	2	1	1	1	718	10
112.09999999999999	0.5	4	2	2	1	656	1
120.09999999999999	0.5	3	1	1	1	770	21
132.09999999999999	0.5	3	1	1	1	867	32
140.09999999999999	0.5	5	2	2	1	709	26
147.09999999999999	0.5	1	1	1	1	606	4
155.09999999999999	0.5	3	1	1	1	905	23
164.09999999999999	0.5	6	2	1	0	795	9
173.09999999999999	0.5	6	2	2	1	692	10
179.09999999999999	0.5	2	1	1	1	803	13
188.09999999999999	0.5	6	2	1	0	752	24
197.09999999999999	0.5	3	1	1	1	674	27
205.0	0.5	6	2	2	1	714	21
212.09999999999999	0.5	1	1	1	1	669	7
218.09999999999999	0.5	3	1	2	0	1022	28
224.09999999999999	0.5	6	2	2	1	734	23
235.0	0.5	5	2	2	1	849	32
245.09999999999999	0.5	2	1	1	1	1170	16
255.09999999999999	0.5	5	2	2	1	694	27
267.10000000000002	0.5	4	2	2	1	1059	4
272.10000000000002	0.5	1	1	1	1	635	5
279.10000000000002	0.5	6	2	2	1	844	13
285.10000000000002	0.5	3	1	1	1	684	30
292.10000000000002	0.5	4	2	2	1	926	7
298.10000000000002	0.5	1	1	1	1	759	8
309.10000000000002	0.5	3	1	1	1	667	31
320.10000000000002	0.5	2	1	1	1	805	14
328.10000000000002	0.5	5	2	2	1	677	28
339.0	0.5	6	2	2	1	780	16
347.10000000000002	0.5	5	2	2	1	833	30
353.10000000000002	0.5	2	1	1	1	625	15
358.10000000000002	0.5	4	2	2	1	653	8
370.10000000000002	0.5	5	2	2	1	687	31
375.10000000000002	0.5	4	2	2	1	647	5
385.0	0.5	3	1	1	1	711	20
395.10000000000002	0.5	6	2	2	1	892	14
403.10000000000002	0.5	1	1	1	1	686	6
408.10000000000002	0.5	3	1	1	1	677	29
415.0	0.5	6	2	2	1	782	15
427.10000000000002	0.5	6	2	1	0	713	18
432.10000000000002	0.5	3	1	1	1	757	19
443.10000000000002	0.5	1	1	1	1	703	3
452.10000000000002	0.5	6	2	2	1	857	20
459.10000000000002	0.5	5	2	2	1	689	29
468.10000000000002	0.5	6	2	2	1	618	19
479.10000000000002	0.5	2	1	1	1	647	12
490.10000000000002	0.5	4	2	2	1	1127	6
499.10000000000002	0.5	4	2	2	1	801	3
510.10000000000002	0.5	2	1	1	1	1116	11
522.10000000000002	0.5	6	2	2	1	780	12
527.10000000000002	0.5	3	1	2	0	590	18
539.10000000000002	0.5	6	2	2	1	610	11
