onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	1	1	1	1	706	2
17.0	0.5	3	1	1	1	621	17
22.0	0.5	3	1	1	1	509	22
27.0	0.5	4	2	2	1	535	2
34.0	0.5	3	1	1	1	441	25
44.0	0.5	1	1	1	1	519	1
54.0	0.5	6	2	2	1	572	22
64.0	0.5	3	1	1	1	534	26
70.0	0.5	2	1	1	1	631	9
77.0	0.5	3	1	2	0	511	24
86.0	0.5	6	2	2	1	555	17
98.0	0.5	5	2	2	1	519	25
106.09999999999999	0.5	2	1	1	1	631	10
112.0	0.5	4	2	2	1	792	1
120.0	0.5	3	1	1	1	593	21
132.0	0.5	3	1	1	1	549	32
140.0	0.5	5	2	2	1	623	26
147.0	0.5	1	1	1	1	637	4
155.0	0.5	3	1	1	1	593	23
164.0	0.5	6	2	2	1	722	9
173.0	0.5	6	2	2	1	576	10
179.09999999999999	0.5	2	1	1	1	671	13
188.0	0.5	6	2	1	0	816	24
197.0	0.5	3	1	1	1	569	27
205.0	0.5	6	2	2	1	562	21
212.0	0.5	1	1	1	1	597	7
218.0	0.5	3	1	1	1	511	28
224.0	0.5	6	2	2	1	561	23
235.0	0.5	5	2	1	0	737	32
245.0	0.5	2	1	1	1	649	16
255.0	0.5	5	2	2	1	562	27
267.0	0.5	4	2	2	1	511	4
272.0	0.5	1	1	1	1	618	5
279.0	0.5	6	2	1	0	570	13
285.0	0.5	3	1	1	1	676	30
292.0	0.5	4	2	2	1	548	7
298.0	0.5	1	1	1	1	678	8
309.0	0.5	3	1	1	1	586	31
320.0	0.5	2	1	1	1	626	14
328.0	0.5	5	2	2	1	556	28
339.0	0.5	6	2	2	1	482	16
347.0	0.5	5	2	2	1	592	30
353.10000000000002	0.5	2	1	1	1	611	15
358.0	0.5	4	2	2	1	494	8
370.0	0.5	5	2	2	1	525	31
375.0	0.5	4	2	2	1	575	5
385.0	0.5	3	1	1	1	899	20
395.0	0.5	6	2	2	1	563	14
403.0	0.5	1	1	1	1	691	6
408.0	0.5	3	1	1	1	574	29
415.0	0.5	6	2	2	1	649	15
427.0	0.5	6	2	1	0	619	18
432.0	0.5	3	1	1	1	572	19
443.0	0.5	1	1	2	0	541	3
452.0	0.5	6	2	2	1	624	20
459.0	0.5	5	2	1	0	497	29
468.0	0.5	6	2	2	1	515	19
479.0	0.5	2	1	1	1	638	12
490.0	0.5	4	2	2	1	598	6
499.0	0.5	4	2	2	1	460	3
510.0	0.5	2	1	2	0	509	11
522.0	0.5	6	2	2	1	598	12
527.0	0.5	3	1	2	0	588	18
539.0	0.5	6	2	2	1	476	11
