onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	1	1	646	22
12.0	0.5	3	1	1	1	535	17
21.100000000000001	0.5	3	1	1	1	508	25
27.0	0.5	6	2	1	0	429	22
33.0	0.5	1	1	1	1	531	1
45.0	0.5	2	1	1	1	441	9
51.100000000000001	0.5	3	1	1	1	428	26
61.100000000000001	0.5	6	2	1	0	524	25
66.0	0.5	2	1	1	1	532	10
76.0	0.5	3	1	1	1	583	24
86.0	0.5	6	2	1	0	687	17
93.0	0.5	1	1	1	1	664	2
98.099999999999994	0.5	4	2	2	1	511	1
110.0	0.5	3	1	1	1	534	21
117.0	0.5	5	2	2	1	558	9
129.0	0.5	6	2	2	1	552	26
141.09999999999999	0.5	1	1	1	1	478	4
150.0	0.5	3	1	1	1	510	27
162.0	0.5	1	1	1	1	450	7
170.0	0.5	5	2	2	1	553	10
179.0	0.5	4	2	2	1	513	2
190.09999999999999	0.5	3	1	1	1	735	32
198.0	0.5	6	2	2	1	499	24
209.0	0.5	3	1	1	1	513	23
214.0	0.5	6	2	2	1	617	21
219.0	0.5	2	1	1	1	699	13
231.09999999999999	0.5	3	1	1	1	615	28
243.0	0.5	6	2	2	1	510	23
255.0	0.5	4	2	2	1	513	4
264.0	0.5	1	1	1	1	556	5
271.10000000000002	0.5	6	2	2	1	607	27
282.0	0.5	6	2	2	1	625	32
292.0	0.5	2	1	1	1	595	16
301.0	0.5	4	2	2	1	546	7
307.0	0.5	3	1	1	1	629	31
315.0	0.5	5	2	2	1	526	13
320.0	0.5	1	1	2	0	445	8
330.0	0.5	3	1	1	1	602	30
341.0	0.5	2	1	1	1	507	14
346.0	0.5	6	2	2	1	495	28
355.0	0.5	4	2	2	1	518	5
362.0	0.5	6	2	2	1	538	30
370.0	0.5	3	1	1	1	587	18
376.0	0.5	4	2	2	1	460	8
381.0	0.5	2	1	1	1	573	15
392.10000000000002	0.5	5	2	2	1	436	16
403.10000000000002	0.5	5	2	2	1	650	14
413.0	0.5	6	2	2	1	633	31
420.0	0.5	1	1	1	1	630	6
431.10000000000002	0.5	3	1	1	1	546	29
440.10000000000002	0.5	3	1	1	1	563	20
451.0	0.5	5	2	2	1	516	15
457.0	0.5	3	1	1	1	550	19
462.0	0.5	6	2	2	1	465	20
468.0	0.5	2	1	1	1	566	12
475.10000000000002	0.5	6	2	2	1	446	29
485.10000000000002	0.5	1	1	1	1	532	3
491.0	0.5	6	2	2	1	653	18
500.0	0.5	4	2	2	1	490	6
510.10000000000002	0.5	6	2	2	1	539	19
518.10000000000002	0.5	2	1	1	1	579	11
526.10000000000002	0.5	4	2	2	1	557	3
534.0	0.5	5	2	2	1	448	12
542.0	0.5	5	2	2	1	455	11
