onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	1	1	448	17
16.100000000000001	0.5	1	1	1	1	601	2
23.0	0.5	3	1	1	1	500	22
33.0	0.5	6	2	2	1	683	17
41.0	0.5	3	1	1	1	478	25
49.0	0.5	3	1	1	1	574	26
61.100000000000001	0.5	6	2	1	0	477	22
68.099999999999994	0.5	1	1	1	1	485	1
76.0	0.5	3	2	1	0	603	24
88.099999999999994	0.5	2	1	1	1	529	9
93.099999999999994	0.5	4	2	2	1	602	2
100.09999999999999	0.5	6	2	2	1	507	25
108.0	0.5	3	1	1	1	400	32
114.0	0.5	6	2	1	0	597	26
123.0	0.5	2	1	1	1	453	10
129.09999999999999	0.5	6	2	1	0	522	32
135.09999999999999	0.5	4	2	1	0	460	1
143.09999999999999	0.5	1	1	1	1	454	4
154.0	0.5	3	1	1	1	495	23
160.0	0.5	6	2	2	1	645	24
166.0	0.5	3	1	1	1	465	21
177.0	0.5	5	2	1	0	476	9
182.09999999999999	0.5	2	1	2	0	548	13
193.0	0.5	3	1	1	1	547	27
201.0	0.5	1	1	1	1	473	7
206.09999999999999	0.5	5	2	2	1	642	10
215.09999999999999	0.5	3	1	1	1	445	28
220.09999999999999	0.5	6	2	1	0	636	23
229.0	0.5	2	1	1	1	453	16
238.09999999999999	0.5	4	2	2	1	624	4
247.09999999999999	0.5	6	2	2	1	538	27
259.10000000000002	0.5	6	2	2	1	541	21
266.10000000000002	0.5	1	1	2	0	550	5
278.10000000000002	0.5	5	2	1	0	610	13
285.0	0.5	4	2	2	1	689	7
290.10000000000002	0.5	3	1	1	1	524	30
297.10000000000002	0.5	3	1	1	1	464	31
306.10000000000002	0.5	5	2	1	0	597	16
317.10000000000002	0.5	2	1	2	0	557	14
327.10000000000002	0.5	6	2	2	1	619	28
332.10000000000002	0.5	1	1	1	1	692	8
342.10000000000002	0.5	6	2	2	1	590	30
352.10000000000002	0.5	2	1	1	1	534	15
364.10000000000002	0.5	4	2	2	1	532	8
374.10000000000002	0.5	6	2	2	1	638	31
386.10000000000002	0.5	4	2	2	1	512	5
392.10000000000002	0.5	3	1	1	1	583	20
402.10000000000002	0.5	5	2	2	1	562	14
412.10000000000002	0.5	3	1	2	0	597	29
421.10000000000002	0.5	1	1	1	1	742	6
427.10000000000002	0.5	5	2	2	1	688	15
435.0	0.5	2	1	1	1	511	12
443.10000000000002	0.5	3	1	1	1	484	18
450.10000000000002	0.5	3	1	1	1	488	19
455.0	0.5	6	2	1	0	508	20
460.10000000000002	0.5	6	2	2	1	671	29
471.0	0.5	1	1	1	1	687	3
480.10000000000002	0.5	6	2	2	1	554	19
490.0	0.5	4	2	2	1	486	6
501.0	0.5	6	2	2	1	573	18
512.10000000000002	0.5	2	1	1	1	729	11
519.10000000000002	0.5	5	2	2	1	570	12
525.10000000000002	0.5	4	2	1	0	530	3
537.0	0.5	5	2	2	1	669	11
