onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	1	1	1	1	916	2
17.100000000000001	0.5	3	1	1	1	762	17
22.0	0.5	3	1	1	1	641	22
27.0	0.5	4	2	2	1	805	2
34.0	0.5	3	1	1	1	836	25
44.0	0.5	1	1	1	1	815	1
54.0	0.5	6	2	2	1	1193	22
64.0	0.5	3	1	1	1	740	26
70.099999999999994	0.5	2	1	1	1	788	9
77.0	0.5	3	1	1	1	810	24
86.0	0.5	6	2	2	1	823	17
98.0	0.5	5	2	2	1	970	25
106.0	0.5	2	1	1	1	925	10
112.0	0.5	4	2	2	1	971	1
120.0	0.5	3	1	1	1	952	21
132.0	0.5	3	1	1	1	815	32
140.0	0.5	5	2	2	1	875	26
147.09999999999999	0.5	1	1	1	1	1165	4
155.0	0.5	3	1	1	1	998	23
164.0	0.5	6	2	2	1	1001	9
173.0	0.5	6	2	2	1	882	10
179.09999999999999	0.5	2	1	1	1	891	13
188.0	0.5	6	2	2	1	964	24
197.0	0.5	3	1	1	1	751	27
205.0	0.5	6	2	2	1	790	21
212.0	0.5	1	1	1	1	1113	7
218.0	0.5	3	1	1	1	780	28
224.0	0.5	6	2	2	1	884	23
235.0	0.5	5	2	2	1	805	32
245.0	0.5	2	1	-1	0	0	16
255.0	0.5	5	2	2	1	811	27
267.0	0.5	4	2	2	1	724	4
272.0	0.5	1	1	1	1	750	5
279.0	0.5	6	2	2	1	766	13
285.0	0.5	3	1	1	1	802	30
292.0	0.5	4	2	2	1	771	7
298.0	0.5	1	1	1	1	756	8
309.0	0.5	3	1	1	1	778	31
320.0	0.5	2	1	1	1	703	14
328.0	0.5	5	2	2	1	771	28
339.0	0.5	6	2	1	0	809	16
347.0	0.5	5	2	2	1	766	30
353.0	0.5	2	1	1	1	759	15
358.10000000000002	0.5	4	2	2	1	802	8
370.0	0.5	5	2	2	1	819	31
375.0	0.5	4	2	2	1	778	5
385.0	0.5	3	1	1	1	983	20
395.0	0.5	6	2	2	1	872	14
403.10000000000002	0.5	1	1	1	1	795	6
408.0	0.5	3	1	1	1	780	29
415.0	0.5	6	2	2	1	774	15
427.0	0.5	6	2	1	0	855	18
432.10000000000002	0.5	3	1	1	1	835	19
443.10000000000002	0.5	1	1	1	1	1044	3
452.0	0.5	6	2	2	1	805	20
459.0	0.5	5	2	2	1	775	29
468.0	0.5	6	2	2	1	655	19
479.0	0.5	2	1	1	1	957	12
490.0	0.5	4	2	2	1	805	6
499.0	0.5	4	2	2	1	1053	3
510.0	0.5	2	1	1	1	993	11
522.10000000000002	0.5	6	2	2	1	997	12
527.10000000000002	0.5	3	1	2	0	805	18
539.0	0.5	6	2	2	1	734	11
