onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	1	1	806	22
12.1	0.5	3	1	1	1	922	17
21.0	0.5	3	1	1	1	665	25
27.0	0.5	6	2	2	1	960	22
33.0	0.5	1	1	1	1	626	1
45.0	0.5	2	1	1	1	646	9
51.100000000000001	0.5	3	1	1	1	657	26
61.100000000000001	0.5	6	2	2	1	778	25
66.0	0.5	2	1	1	1	676	10
76.0	0.5	3	1	-1	0	0	24
86.099999999999994	0.5	6	2	1	0	785	17
93.0	0.5	1	1	1	1	784	2
98.099999999999994	0.5	4	2	2	1	739	1
110.0	0.5	3	1	1	1	781	21
117.0	0.5	5	2	2	1	870	9
129.0	0.5	6	2	2	1	759	26
141.0	0.5	1	1	1	1	666	4
150.0	0.5	3	1	1	1	716	27
162.09999999999999	0.5	1	1	1	1	706	7
170.09999999999999	0.5	5	2	2	1	707	10
179.09999999999999	0.5	4	2	2	1	701	2
190.09999999999999	0.5	3	1	1	1	711	32
198.09999999999999	0.5	6	2	2	1	763	24
209.09999999999999	0.5	3	1	1	1	979	23
214.09999999999999	0.5	6	2	2	1	749	21
219.09999999999999	0.5	2	1	1	1	853	13
231.09999999999999	0.5	3	1	1	1	711	28
243.0	0.5	6	2	2	1	737	23
255.09999999999999	0.5	4	2	2	1	805	4
264.10000000000002	0.5	1	1	1	1	782	5
271.10000000000002	0.5	6	2	2	1	719	27
282.10000000000002	0.5	6	2	2	1	683	32
292.10000000000002	0.5	2	1	1	1	934	16
301.10000000000002	0.5	4	2	2	1	710	7
307.10000000000002	0.5	3	1	1	1	1087	31
315.0	0.5	5	2	2	1	677	13
320.0	0.5	1	1	1	1	1104	8
330.10000000000002	0.5	3	1	-1	0	0	30
341.0	0.5	2	1	1	1	700	14
346.10000000000002	0.5	6	2	2	1	760	28
355.10000000000002	0.5	4	2	2	1	745	5
362.0	0.5	6	2	2	1	835	30
370.0	0.5	3	1	1	1	844	18
376.10000000000002	0.5	4	2	2	1	758	8
381.0	0.5	2	1	1	1	796	15
392.10000000000002	0.5	5	2	2	1	888	16
403.0	0.5	5	2	2	1	720	14
413.0	0.5	6	2	2	1	796	31
420.0	0.5	1	1	1	1	701	6
431.10000000000002	0.5	3	1	1	1	777	29
440.10000000000002	0.5	3	1	1	1	771	20
451.0	0.5	5	2	2	1	700	15
457.0	0.5	3	1	1	1	717	19
462.10000000000002	0.5	6	2	2	1	768	20
468.10000000000002	0.5	2	1	1	1	777	12
475.0	0.5	6	2	2	1	625	29
485.0	0.5	1	1	1	1	953	3
491.0	0.5	6	2	2	1	770	18
500.10000000000002	0.5	4	2	2	1	713	6
510.10000000000002	0.5	6	2	2	1	610	19
518.10000000000002	0.5	2	1	2	0	1172	11
526.10000000000002	0.5	4	2	2	1	693	3
534.0	0.5	5	2	2	1	598	12
542.10000000000002	0.5	5	2	2	1	866	11
