onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	1	1	-1	0	0	2
17.100000000000001	0.5	3	1	1	1	696	17
22.0	0.5	3	1	1	1	537	22
27.0	0.5	4	2	2	1	681	2
34.0	0.5	3	1	1	1	684	25
44.100000000000001	0.5	1	1	1	1	841	1
54.100000000000001	0.5	6	2	2	1	1089	22
64.099999999999994	0.5	3	1	1	1	819	26
70.0	0.5	2	1	1	1	964	9
77.0	0.5	3	1	1	1	820	24
86.099999999999994	0.5	6	2	2	1	823	17
98.099999999999994	0.5	5	2	2	1	842	25
106.09999999999999	0.5	2	1	1	1	756	10
112.0	0.5	4	2	2	1	693	1
120.0	0.5	3	1	1	1	821	21
132.09999999999999	0.5	3	1	1	1	1097	32
140.09999999999999	0.5	5	2	-1	0	0	26
147.09999999999999	0.5	1	1	1	1	836	4
155.0	0.5	3	1	1	1	971	23
164.0	0.5	6	2	2	1	1046	9
173.0	0.5	6	2	2	1	640	10
179.09999999999999	0.5	2	1	1	1	1203	13
188.09999999999999	0.5	6	2	1	0	1101	24
197.0	0.5	3	1	1	1	803	27
205.0	0.5	6	2	2	1	703	21
212.09999999999999	0.5	1	1	1	1	803	7
218.0	0.5	3	1	1	1	744	28
224.09999999999999	0.5	6	2	2	1	828	23
235.0	0.5	5	2	2	1	974	32
245.0	0.5	2	1	1	1	831	16
255.0	0.5	5	2	2	1	672	27
267.0	0.5	4	2	2	1	826	4
272.10000000000002	0.5	1	1	1	1	773	5
279.0	0.5	6	2	2	1	701	13
285.0	0.5	3	1	1	1	815	30
292.0	0.5	4	2	2	1	722	7
298.0	0.5	1	1	1	1	801	8
309.0	0.5	3	1	1	1	763	31
320.0	0.5	2	1	1	1	776	14
328.0	0.5	5	2	2	1	610	28
339.0	0.5	6	2	2	1	995	16
347.10000000000002	0.5	5	2	2	1	902	30
353.10000000000002	0.5	2	1	1	1	836	15
358.10000000000002	0.5	4	2	2	1	760	8
370.0	0.5	5	2	2	1	706	31
375.0	0.5	4	2	2	1	691	5
385.0	0.5	3	1	1	1	973	20
395.0	0.5	6	2	2	1	758	14
403.10000000000002	0.5	1	1	1	1	1104	6
408.0	0.5	3	1	1	1	923	29
415.0	0.5	6	2	2	1	698	15
427.0	0.5	6	2	1	0	1084	18
432.10000000000002	0.5	3	1	-1	0	0	19
443.0	0.5	1	1	-1	0	0	3
452.0	0.5	6	2	2	1	511	20
459.0	0.5	5	2	2	1	586	29
468.10000000000002	0.5	6	2	2	1	792	19
479.10000000000002	0.5	2	1	1	1	1129	12
490.0	0.5	4	2	2	1	971	6
499.0	0.5	4	2	2	1	844	3
510.10000000000002	0.5	2	1	-1	0	0	11
522.10000000000002	0.5	6	2	2	1	802	12
527.10000000000002	0.5	3	1	2	0	675	18
539.0	0.5	6	2	2	1	614	11
