onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	-1	1	0	22
16.100000000000001	0.5	3	1	2	1	785	17
22.0	0.5	2	1	2	1	840	9
31.0	0.5	6	2	1	1	737	22
38.0	0.5	3	1	2	1	675	25
43.0	0.5	1	1	2	1	765	1
49.0	0.5	3	1	2	1	717	26
56.100000000000001	0.5	5	2	1	1	817	9
62.100000000000001	0.5	2	1	2	1	602	10
67.0	0.5	3	1	2	1	698	24
73.0	0.5	6	2	1	1	674	17
79.0	0.5	6	2	2	0	660	25
86.099999999999994	0.5	1	1	2	1	727	2
93.099999999999994	0.5	4	2	1	1	688	1
101.09999999999999	0.5	3	1	2	1	681	21
109.0	0.5	6	2	1	1	866	26
120.0	0.5	3	1	2	1	691	32
132.09999999999999	0.5	3	1	2	1	761	27
141.0	0.5	3	1	2	1	1160	23
151.0	0.5	5	2	1	1	828	10
162.0	0.5	4	2	1	1	1029	2
172.0	0.5	1	1	2	1	646	4
180.09999999999999	0.5	6	2	1	1	724	24
185.09999999999999	0.5	1	1	2	1	644	7
195.0	0.5	6	2	1	1	652	21
204.0	0.5	2	1	2	1	735	13
216.09999999999999	0.5	3	1	2	1	970	28
228.09999999999999	0.5	6	2	1	1	796	23
238.0	0.5	6	2	2	0	1110	32
243.0	0.5	1	1	2	1	807	5
248.0	0.5	6	2	1	1	718	27
260.10000000000002	0.5	4	2	-1	1	0	4
267.10000000000002	0.5	2	1	2	1	867	16
278.0	0.5	4	2	1	1	798	7
284.0	0.5	1	1	2	1	758	8
296.0	0.5	5	2	1	1	673	13
303.10000000000002	0.5	3	1	2	1	708	30
311.0	0.5	3	1	2	1	1051	31
318.10000000000002	0.5	2	1	-1	1	0	14
325.0	0.5	6	2	1	1	712	28
335.0	0.5	4	2	1	1	721	5
344.0	0.5	6	2	1	1	691	30
352.10000000000002	0.5	3	1	2	1	606	18
361.0	0.5	4	2	1	1	728	8
373.0	0.5	2	1	2	1	703	15
381.0	0.5	5	2	1	1	1227	16
389.0	0.5	5	2	1	1	976	14
394.10000000000002	0.5	6	2	1	1	840	31
403.0	0.5	1	1	2	1	709	6
412.0	0.5	3	1	2	1	795	29
423.0	0.5	3	1	1	0	1267	20
428.10000000000002	0.5	5	2	1	1	878	15
438.10000000000002	0.5	3	1	2	1	1231	19
448.0	0.5	6	2	-1	1	0	20
459.0	0.5	2	1	2	1	723	12
469.0	0.5	6	2	1	1	869	29
477.10000000000002	0.5	2	1	2	1	697	11
483.10000000000002	0.5	6	2	1	1	546	19
495.0	0.5	4	2	1	1	876	6
500.0	0.5	5	2	1	1	1132	12
512.10000000000002	0.5	1	1	-1	1	0	3
523.10000000000002	0.5	5	2	1	1	880	11
532.0	0.5	6	2	1	1	732	18
538.0	0.5	4	2	1	1	852	3
