onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	2	1	754	22
12.1	0.5	3	1	2	1	1006	17
21.0	0.5	3	1	2	1	965	25
27.0	0.5	6	2	1	1	815	22
33.0	0.5	1	1	2	1	1089	1
45.0	0.5	2	1	2	1	1051	9
51.0	0.5	3	1	2	1	1092	26
61.0	0.5	6	2	-1	1	0	25
66.099999999999994	0.5	2	1	2	1	1068	10
76.099999999999994	0.5	3	1	2	1	764	24
86.099999999999994	0.5	6	2	-1	1	0	17
93.099999999999994	0.5	1	1	2	1	711	2
98.099999999999994	0.5	4	2	1	1	1016	1
110.0	0.5	3	1	2	1	738	21
117.0	0.5	5	2	-1	1	0	9
129.0	0.5	6	2	1	1	618	26
141.09999999999999	0.5	1	1	2	1	704	4
150.0	0.5	3	1	2	1	739	27
162.09999999999999	0.5	1	1	2	1	687	7
170.09999999999999	0.5	5	2	1	1	768	10
179.0	0.5	4	2	1	1	638	2
190.09999999999999	0.5	3	1	2	1	883	32
198.0	0.5	6	2	1	1	685	24
209.0	0.5	3	1	2	1	742	23
214.09999999999999	0.5	6	2	1	1	721	21
219.09999999999999	0.5	2	1	2	1	666	13
231.0	0.5	3	1	2	1	801	28
243.09999999999999	0.5	6	2	1	1	704	23
255.09999999999999	0.5	4	2	-1	1	0	4
264.10000000000002	0.5	1	1	2	1	659	5
271.10000000000002	0.5	6	2	2	0	860	27
282.10000000000002	0.5	6	2	1	1	1057	32
292.10000000000002	0.5	2	1	2	1	834	16
301.10000000000002	0.5	4	2	1	1	1003	7
307.10000000000002	0.5	3	1	2	1	692	31
315.10000000000002	0.5	5	2	1	1	1004	13
320.10000000000002	0.5	1	1	2	1	690	8
330.10000000000002	0.5	3	1	2	1	770	30
341.10000000000002	0.5	2	1	2	1	884	14
346.10000000000002	0.5	6	2	2	0	1148	28
355.10000000000002	0.5	4	2	1	1	752	5
362.10000000000002	0.5	6	2	-1	1	0	30
370.10000000000002	0.5	3	1	2	1	779	18
376.10000000000002	0.5	4	2	1	1	924	8
381.10000000000002	0.5	2	1	2	1	716	15
392.10000000000002	0.5	5	2	2	0	1118	16
403.10000000000002	0.5	5	2	1	1	759	14
413.10000000000002	0.5	6	2	2	0	748	31
420.10000000000002	0.5	1	1	2	1	853	6
431.0	0.5	3	1	2	1	875	29
440.10000000000002	0.5	3	1	2	1	810	20
451.0	0.5	5	2	1	1	721	15
457.0	0.5	3	1	2	1	642	19
462.10000000000002	0.5	6	2	1	1	718	20
468.10000000000002	0.5	2	1	2	1	686	12
475.10000000000002	0.5	6	2	1	1	623	29
485.10000000000002	0.5	1	1	2	1	728	3
491.10000000000002	0.5	6	2	1	1	684	18
500.10000000000002	0.5	4	2	-1	1	0	6
510.10000000000002	0.5	6	2	1	1	631	19
518.10000000000002	0.5	2	1	2	1	672	11
526.10000000000002	0.5	4	2	1	1	570	3
534.0	0.5	5	2	1	1	674	12
542.10000000000002	0.5	5	2	1	1	631	11
