onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	1	1	-1	0	0	2
17.100000000000001	0.5	3	1	1	1	1139	17
22.0	0.5	3	1	1	1	885	22
27.0	0.5	4	2	2	1	1043	2
34.0	0.5	3	1	1	1	854	25
44.100000000000001	0.5	1	1	1	1	882	1
54.100000000000001	0.5	6	2	2	1	852	22
64.0	0.5	3	1	1	1	806	26
70.0	0.5	2	1	1	1	1182	9
77.0	0.5	3	1	1	1	860	24
86.099999999999994	0.5	6	2	-1	0	0	17
98.099999999999994	0.5	5	2	2	1	1060	25
106.09999999999999	0.5	2	1	1	1	990	10
112.0	0.5	4	2	2	1	870	1
120.0	0.5	3	1	1	1	1095	21
132.09999999999999	0.5	3	1	1	1	835	32
140.09999999999999	0.5	5	2	2	1	1101	26
147.0	0.5	1	1	1	1	927	4
155.0	0.5	3	1	1	1	812	23
164.0	0.5	6	2	2	1	1096	9
173.09999999999999	0.5	6	2	2	1	821	10
179.0	0.5	2	1	1	1	1195	13
188.09999999999999	0.5	6	2	2	1	791	24
197.0	0.5	3	1	1	1	776	27
205.0	0.5	6	2	2	1	857	21
212.0	0.5	1	1	1	1	866	7
218.09999999999999	0.5	3	1	-1	0	0	28
224.09999999999999	0.5	6	2	2	1	847	23
235.0	0.5	5	2	2	1	792	32
245.0	0.5	2	1	1	1	1074	16
255.0	0.5	5	2	2	1	804	27
267.0	0.5	4	2	-1	0	0	4
272.10000000000002	0.5	1	1	1	1	793	5
279.0	0.5	6	2	2	1	993	13
285.0	0.5	3	1	1	1	1074	30
292.0	0.5	4	2	2	1	989	7
298.10000000000002	0.5	1	1	1	1	1064	8
309.0	0.5	3	1	1	1	1086	31
320.0	0.5	2	1	1	1	1242	14
328.0	0.5	5	2	2	1	771	28
339.0	0.5	6	2	-1	0	0	16
347.10000000000002	0.5	5	2	2	1	1049	30
353.10000000000002	0.5	2	1	1	1	1106	15
358.10000000000002	0.5	4	2	2	1	1154	8
370.10000000000002	0.5	5	2	2	1	887	31
375.0	0.5	4	2	2	1	798	5
385.0	0.5	3	1	1	1	1062	20
395.10000000000002	0.5	6	2	2	1	986	14
403.0	0.5	1	1	1	1	1115	6
408.10000000000002	0.5	3	1	-1	0	0	29
415.0	0.5	6	2	2	1	1117	15
427.0	0.5	6	2	-1	0	0	18
432.10000000000002	0.5	3	1	1	1	1138	19
443.0	0.5	1	1	-1	0	0	3
452.0	0.5	6	2	2	1	901	20
459.10000000000002	0.5	5	2	2	1	745	29
468.10000000000002	0.5	6	2	2	1	883	19
479.10000000000002	0.5	2	1	1	1	1091	12
490.0	0.5	4	2	2	1	1021	6
499.0	0.5	4	2	-1	0	0	3
510.10000000000002	0.5	2	1	-1	0	0	11
522.10000000000002	0.5	6	2	-1	0	0	12
527.10000000000002	0.5	3	1	2	0	862	18
539.0	0.5	6	2	2	1	1104	11
