onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	1	1	1	1	365	2
17.0	0.5	3	1	1	1	548	17
22.0	0.5	3	1	1	1	463	22
27.0	0.5	4	2	2	1	605	2
34.0	0.5	3	1	1	1	807	25
44.0	0.5	1	1	2	0	785	1
54.0	0.5	6	2	2	1	763	22
64.0	0.5	3	1	1	1	660	26
70.099999999999994	0.5	2	1	1	1	712	9
77.0	0.5	3	1	1	1	609	24
86.0	0.5	6	2	2	1	738	17
98.0	0.5	5	2	2	1	652	25
106.0	0.5	2	1	1	1	624	10
112.0	0.5	4	2	2	1	730	1
120.0	0.5	3	1	1	1	857	21
132.0	0.5	3	1	-1	0	0	32
140.09999999999999	0.5	5	2	2	1	975	26
147.09999999999999	0.5	1	1	1	1	752	4
155.0	0.5	3	1	1	1	786	23
164.0	0.5	6	2	1	0	852	9
173.0	0.5	6	2	2	1	730	10
179.09999999999999	0.5	2	1	1	1	893	13
188.09999999999999	0.5	6	2	2	1	762	24
197.0	0.5	3	1	1	1	688	27
205.0	0.5	6	2	2	1	836	21
212.09999999999999	0.5	1	1	1	1	759	7
218.09999999999999	0.5	3	1	1	1	816	28
224.09999999999999	0.5	6	2	2	1	722	23
235.0	0.5	5	2	2	1	747	32
245.0	0.5	2	1	1	1	650	16
255.0	0.5	5	2	2	1	627	27
267.10000000000002	0.5	4	2	2	1	696	4
272.10000000000002	0.5	1	1	1	1	635	5
279.0	0.5	6	2	2	1	620	13
285.0	0.5	3	1	1	1	674	30
292.10000000000002	0.5	4	2	2	1	641	7
298.10000000000002	0.5	1	1	1	1	511	8
309.10000000000002	0.5	3	1	1	1	611	31
320.0	0.5	2	1	1	1	685	14
328.0	0.5	5	2	2	1	821	28
339.0	0.5	6	2	2	1	751	16
347.0	0.5	5	2	2	1	926	30
353.10000000000002	0.5	2	1	1	1	652	15
358.10000000000002	0.5	4	2	2	1	669	8
370.0	0.5	5	2	2	1	791	31
375.0	0.5	4	2	2	1	695	5
385.0	0.5	3	1	1	1	841	20
395.10000000000002	0.5	6	2	2	1	957	14
403.0	0.5	1	1	1	1	619	6
408.0	0.5	3	1	1	1	799	29
415.0	0.5	6	2	2	1	695	15
427.0	0.5	6	2	1	0	818	18
432.10000000000002	0.5	3	1	1	1	669	19
443.0	0.5	1	1	1	1	1036	3
452.0	0.5	6	2	2	1	720	20
459.0	0.5	5	2	2	1	690	29
468.0	0.5	6	2	2	1	738	19
479.0	0.5	2	1	1	1	636	12
490.0	0.5	4	2	2	1	664	6
499.0	0.5	4	2	2	1	698	3
510.10000000000002	0.5	2	1	1	1	724	11
522.10000000000002	0.5	6	2	2	1	624	12
527.0	0.5	3	1	2	0	662	18
539.0	0.5	6	2	2	1	530	11
