onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	1	1	644	17
16.0	0.5	1	1	1	1	230	2
23.0	0.5	3	1	1	1	443	22
33.0	0.5	6	2	1	0	546	17
41.0	0.5	3	1	1	1	907	25
49.0	0.5	3	1	1	1	519	26
61.0	0.5	6	2	2	1	499	22
68.0	0.5	1	1	1	1	650	1
76.0	0.5	3	2	2	1	715	24
88.0	0.5	2	1	1	1	647	9
93.0	0.5	4	2	2	1	789	2
100.0	0.5	6	2	2	1	714	25
108.0	0.5	3	1	1	1	762	32
114.0	0.5	6	2	-1	0	0	26
123.0	0.5	2	1	1	1	613	10
129.0	0.5	6	2	1	0	854	32
135.0	0.5	4	2	2	1	511	1
143.09999999999999	0.5	1	1	1	1	762	4
154.0	0.5	3	1	1	1	859	23
160.0	0.5	6	2	2	1	620	24
166.0	0.5	3	1	1	1	600	21
177.0	0.5	5	2	2	1	617	9
182.0	0.5	2	1	1	1	514	13
193.0	0.5	3	1	1	1	587	27
201.0	0.5	1	1	1	1	621	7
206.0	0.5	5	2	2	1	637	10
215.0	0.5	3	1	1	1	722	28
220.0	0.5	6	2	2	1	584	23
229.0	0.5	2	1	1	1	619	16
238.0	0.5	4	2	2	1	630	4
247.0	0.5	6	2	2	1	759	27
259.0	0.5	6	2	2	1	694	21
266.0	0.5	1	1	2	0	762	5
278.0	0.5	5	2	2	1	710	13
285.0	0.5	4	2	1	0	988	7
290.0	0.5	3	1	1	1	632	30
297.0	0.5	3	1	1	1	755	31
306.0	0.5	5	2	2	1	662	16
317.0	0.5	2	1	1	1	662	14
327.0	0.5	6	2	2	1	727	28
332.0	0.5	1	1	1	1	608	8
342.0	0.5	6	2	2	1	572	30
352.0	0.5	2	1	1	1	599	15
364.0	0.5	4	2	2	1	616	8
374.0	0.5	6	2	2	1	719	31
386.0	0.5	4	2	2	1	668	5
392.0	0.5	3	1	1	1	660	20
402.0	0.5	5	2	2	1	631	14
412.0	0.5	3	1	1	1	722	29
421.0	0.5	1	1	1	1	682	6
427.0	0.5	5	2	2	1	620	15
435.10000000000002	0.5	2	1	1	1	525	12
443.0	0.5	3	1	1	1	646	18
450.0	0.5	3	1	1	1	562	19
455.0	0.5	6	2	1	0	513	20
460.0	0.5	6	2	2	1	715	29
471.0	0.5	1	1	1	1	792	3
480.0	0.5	6	2	2	1	601	19
490.0	0.5	4	2	2	1	627	6
501.0	0.5	6	2	2	1	556	18
512.10000000000002	0.5	2	1	1	1	633	11
519.0	0.5	5	2	2	1	578	12
525.0	0.5	4	2	2	1	546	3
537.0	0.5	5	2	2	1	828	11
