onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	1	1	2	1	1116	2
17.100000000000001	0.5	3	1	2	1	864	17
22.0	0.5	3	1	2	1	721	22
27.100000000000001	0.5	4	2	1	1	836	2
34.0	0.5	3	1	2	1	691	25
44.100000000000001	0.5	1	1	2	1	695	1
54.100000000000001	0.5	6	2	1	1	792	22
64.099999999999994	0.5	3	1	2	1	594	26
70.0	0.5	2	1	2	1	771	9
77.0	0.5	3	1	2	1	643	24
86.099999999999994	0.5	6	2	1	1	719	17
98.099999999999994	0.5	5	2	1	1	713	25
106.09999999999999	0.5	2	1	2	1	667	10
112.0	0.5	4	2	1	1	714	1
120.09999999999999	0.5	3	1	2	1	1103	21
132.09999999999999	0.5	3	1	2	1	688	32
140.09999999999999	0.5	5	2	1	1	714	26
147.09999999999999	0.5	1	1	2	1	755	4
155.09999999999999	0.5	3	1	2	1	823	23
164.09999999999999	0.5	6	2	1	1	816	9
173.09999999999999	0.5	6	2	1	1	969	10
179.09999999999999	0.5	2	1	2	1	642	13
188.09999999999999	0.5	6	2	1	1	652	24
197.0	0.5	3	1	2	1	597	27
205.0	0.5	6	2	2	0	854	21
212.09999999999999	0.5	1	1	2	1	827	7
218.09999999999999	0.5	3	1	2	1	708	28
224.09999999999999	0.5	6	2	1	1	892	23
235.0	0.5	5	2	1	1	797	32
245.09999999999999	0.5	2	1	2	1	889	16
255.09999999999999	0.5	5	2	1	1	1068	27
267.0	0.5	4	2	1	1	665	4
272.10000000000002	0.5	1	1	2	1	745	5
279.10000000000002	0.5	6	2	1	1	793	13
285.10000000000002	0.5	3	1	2	1	802	30
292.10000000000002	0.5	4	2	1	1	746	7
298.10000000000002	0.5	1	1	2	1	764	8
309.0	0.5	3	1	2	1	1242	31
320.10000000000002	0.5	2	1	2	1	706	14
328.10000000000002	0.5	5	2	1	1	1051	28
339.0	0.5	6	2	1	1	858	16
347.10000000000002	0.5	5	2	2	0	790	30
353.10000000000002	0.5	2	1	2	1	934	15
358.10000000000002	0.5	4	2	1	1	1185	8
370.10000000000002	0.5	5	2	1	1	860	31
375.0	0.5	4	2	-1	1	0	5
385.0	0.5	3	1	2	1	883	20
395.0	0.5	6	2	-1	1	0	14
403.10000000000002	0.5	1	1	2	1	841	6
408.10000000000002	0.5	3	1	2	1	821	29
415.0	0.5	6	2	1	1	1098	15
427.0	0.5	6	2	2	0	829	18
432.10000000000002	0.5	3	1	2	1	783	19
443.10000000000002	0.5	1	1	1	0	1116	3
452.10000000000002	0.5	6	2	1	1	973	20
459.0	0.5	5	2	1	1	761	29
468.10000000000002	0.5	6	2	1	1	856	19
479.10000000000002	0.5	2	1	2	1	664	12
490.0	0.5	4	2	1	1	596	6
499.10000000000002	0.5	4	2	1	1	662	3
510.10000000000002	0.5	2	1	2	1	840	11
522.10000000000002	0.5	6	2	1	1	715	12
527.10000000000002	0.5	3	1	-1	1	0	18
539.0	0.5	6	2	1	1	764	11
