onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	2	1	623	22
12.0	0.5	3	1	2	1	768	17
21.0	0.5	3	1	2	1	643	25
27.0	0.5	6	2	1	1	828	22
33.0	0.5	1	1	2	1	710	1
45.0	0.5	2	1	2	1	688	9
51.0	0.5	3	1	2	1	729	26
61.0	0.5	6	2	1	1	510	25
66.0	0.5	2	1	2	1	709	10
76.0	0.5	3	1	2	1	663	24
86.0	0.5	6	2	1	1	616	17
93.0	0.5	1	1	2	1	798	2
98.0	0.5	4	2	1	1	776	1
110.0	0.5	3	1	2	1	559	21
117.0	0.5	5	2	1	1	744	9
129.0	0.5	6	2	1	1	709	26
141.0	0.5	1	1	2	1	738	4
150.0	0.5	3	1	2	1	759	27
162.0	0.5	1	1	2	1	720	7
170.0	0.5	5	2	1	1	683	10
179.0	0.5	4	2	1	1	672	2
190.0	0.5	3	1	2	1	621	32
198.0	0.5	6	2	1	1	736	24
209.0	0.5	3	1	2	1	818	23
214.0	0.5	6	2	1	1	747	21
219.0	0.5	2	1	2	1	764	13
231.09999999999999	0.5	3	1	2	1	752	28
243.0	0.5	6	2	1	1	827	23
255.0	0.5	4	2	1	1	803	4
264.0	0.5	1	1	2	1	733	5
271.0	0.5	6	2	1	1	822	27
282.0	0.5	6	2	1	1	994	32
292.0	0.5	2	1	2	1	939	16
301.0	0.5	4	2	1	1	670	7
307.0	0.5	3	1	2	1	615	31
315.10000000000002	0.5	5	2	1	1	775	13
320.10000000000002	0.5	1	1	1	0	755	8
330.0	0.5	3	1	2	1	933	30
341.10000000000002	0.5	2	1	2	1	712	14
346.10000000000002	0.5	6	2	1	1	945	28
355.10000000000002	0.5	4	2	1	1	683	5
362.10000000000002	0.5	6	2	1	1	723	30
370.0	0.5	3	1	-1	1	0	18
376.0	0.5	4	2	1	1	678	8
381.10000000000002	0.5	2	1	2	1	921	15
392.10000000000002	0.5	5	2	-1	1	0	16
403.10000000000002	0.5	5	2	1	1	652	14
413.0	0.5	6	2	1	1	790	31
420.10000000000002	0.5	1	1	2	1	878	6
431.10000000000002	0.5	3	1	2	1	963	29
440.10000000000002	0.5	3	1	2	1	796	20
451.0	0.5	5	2	1	1	515	15
457.0	0.5	3	1	2	1	828	19
462.0	0.5	6	2	1	1	839	20
468.10000000000002	0.5	2	1	2	1	915	12
475.0	0.5	6	2	1	1	674	29
485.10000000000002	0.5	1	1	2	1	669	3
491.10000000000002	0.5	6	2	1	1	687	18
500.0	0.5	4	2	1	1	744	6
510.10000000000002	0.5	6	2	1	1	764	19
518.10000000000002	0.5	2	1	2	1	973	11
526.0	0.5	4	2	1	1	691	3
534.10000000000002	0.5	5	2	1	1	536	12
542.0	0.5	5	2	1	1	609	11
