onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	1	1	1	1	645	2
17.0	0.5	3	1	1	1	511	17
22.0	0.5	3	1	1	1	530	22
27.0	0.5	4	2	2	1	759	2
34.0	0.5	3	1	1	1	659	25
44.100000000000001	0.5	1	1	2	0	1200	1
54.100000000000001	0.5	6	2	2	1	962	22
64.0	0.5	3	1	1	1	553	26
70.0	0.5	2	1	1	1	764	9
77.0	0.5	3	1	1	1	661	24
86.0	0.5	6	2	2	1	623	17
98.099999999999994	0.5	5	2	2	1	835	25
106.09999999999999	0.5	2	1	-1	0	0	10
112.0	0.5	4	2	2	1	620	1
120.0	0.5	3	1	1	1	757	21
132.09999999999999	0.5	3	1	1	1	683	32
140.09999999999999	0.5	5	2	2	1	931	26
147.09999999999999	0.5	1	1	2	0	1220	4
155.0	0.5	3	1	1	1	1082	23
164.0	0.5	6	2	1	0	1151	9
173.09999999999999	0.5	6	2	2	1	1202	10
179.09999999999999	0.5	2	1	1	1	1284	13
188.09999999999999	0.5	6	2	-1	0	0	24
197.0	0.5	3	1	1	1	804	27
205.0	0.5	6	2	2	1	799	21
212.0	0.5	1	1	1	1	1192	7
218.09999999999999	0.5	3	1	1	1	845	28
224.09999999999999	0.5	6	2	2	1	894	23
235.0	0.5	5	2	2	1	951	32
245.09999999999999	0.5	2	1	1	1	1008	16
255.0	0.5	5	2	2	1	937	27
267.0	0.5	4	2	-1	0	0	4
272.0	0.5	1	1	1	1	924	5
279.0	0.5	6	2	2	1	837	13
285.0	0.5	3	1	2	0	888	30
292.0	0.5	4	2	2	1	850	7
298.0	0.5	1	1	1	1	1274	8
309.0	0.5	3	1	1	1	1020	31
320.0	0.5	2	1	1	1	849	14
328.0	0.5	5	2	2	1	913	28
339.0	0.5	6	2	2	1	1099	16
347.0	0.5	5	2	2	1	1188	30
353.10000000000002	0.5	2	1	2	0	1096	15
358.10000000000002	0.5	4	2	2	1	737	8
370.0	0.5	5	2	2	1	826	31
375.0	0.5	4	2	2	1	667	5
385.0	0.5	3	1	1	1	708	20
395.10000000000002	0.5	6	2	-1	0	0	14
403.10000000000002	0.5	1	1	-1	0	0	6
408.0	0.5	3	1	1	1	899	29
415.0	0.5	6	2	2	1	811	15
427.0	0.5	6	2	1	0	1150	18
432.10000000000002	0.5	3	1	1	1	832	19
443.0	0.5	1	1	2	0	1040	3
452.0	0.5	6	2	2	1	995	20
459.0	0.5	5	2	2	1	829	29
468.10000000000002	0.5	6	2	2	1	801	19
479.10000000000002	0.5	2	1	1	1	1072	12
490.0	0.5	4	2	2	1	899	6
499.0	0.5	4	2	2	1	897	3
510.10000000000002	0.5	2	1	1	1	921	11
522.10000000000002	0.5	6	2	2	1	1227	12
527.10000000000002	0.5	3	1	2	0	796	18
539.0	0.5	6	2	2	1	749	11
