onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	-1	0	0	17
16.0	0.5	1	1	1	1	928	2
23.0	0.5	3	1	1	1	617	22
33.0	0.5	6	2	2	1	837	17
41.0	0.5	3	1	1	1	722	25
49.0	0.5	3	1	1	1	778	26
61.0	0.5	6	2	2	1	908	22
68.0	0.5	1	1	-1	0	0	1
76.0	0.5	3	2	-1	0	0	24
88.0	0.5	2	1	1	1	1139	9
93.0	0.5	4	2	2	1	1027	2
100.0	0.5	6	2	2	1	1109	25
108.0	0.5	3	1	1	1	1080	32
114.0	0.5	6	2	-1	0	0	26
123.0	0.5	2	1	1	1	1106	10
129.0	0.5	6	2	-1	0	0	32
135.0	0.5	4	2	2	1	1116	1
143.0	0.5	1	1	1	1	1109	4
154.0	0.5	3	1	1	1	1058	23
160.0	0.5	6	2	2	1	1211	24
166.0	0.5	3	1	1	1	907	21
177.0	0.5	5	2	2	1	1170	9
182.0	0.5	2	1	1	1	981	13
193.0	0.5	3	1	1	1	804	27
201.0	0.5	1	1	1	1	811	7
206.0	0.5	5	2	2	1	1163	10
215.0	0.5	3	1	1	1	1061	28
220.0	0.5	6	2	2	1	910	23
229.0	0.5	2	1	2	0	916	16
238.0	0.5	4	2	2	1	896	4
247.0	0.5	6	2	2	1	933	27
259.0	0.5	6	2	2	1	803	21
266.0	0.5	1	1	1	1	1271	5
278.0	0.5	5	2	-1	0	0	13
285.0	0.5	4	2	2	1	1119	7
290.0	0.5	3	1	1	1	970	30
297.0	0.5	3	1	1	1	1006	31
306.0	0.5	5	2	2	1	1039	16
317.0	0.5	2	1	1	1	1209	14
327.0	0.5	6	2	1	0	1225	28
332.0	0.5	1	1	1	1	1070	8
342.0	0.5	6	2	2	1	1144	30
352.0	0.5	2	1	1	1	1018	15
364.0	0.5	4	2	2	1	1140	8
374.0	0.5	6	2	-1	0	0	31
386.0	0.5	4	2	2	1	1152	5
392.0	0.5	3	1	1	1	969	20
402.0	0.5	5	2	2	1	1116	14
412.0	0.5	3	1	1	1	1112	29
421.0	0.5	1	1	1	1	1184	6
427.0	0.5	5	2	-1	0	0	15
435.0	0.5	2	1	1	1	1050	12
443.0	0.5	3	1	1	1	1059	18
450.0	0.5	3	1	1	1	839	19
455.0	0.5	6	2	2	1	776	20
460.0	0.5	6	2	2	1	1153	29
471.0	0.5	1	1	-1	0	0	3
480.0	0.5	6	2	2	1	947	19
490.0	0.5	4	2	2	1	871	6
501.0	0.5	6	2	2	1	793	18
512.0	0.5	2	1	1	1	1084	11
519.0	0.5	5	2	2	1	900	12
525.0	0.5	4	2	2	1	798	3
537.0	0.5	5	2	2	1	889	11
